Keyword,Sheet,Period,Value,FileType,Row,Col,Value_Col
billings,key metrics,Q3 2023,1411,,7,0,9
Billings,key metrics,Q3 2023,1491.3,,7,0,3
Billings,key metrics,Q3 2023,1411,,7,0,9
deferred revenue,billings nongaap,Q3 2023,156.7,,7,0,3
deferred revenue,billings nongaap,Q3 2023,261.5,,7,0,9
billings,billings nongaap,Q3 2023,1491.3,,8,0,3
billings,billings nongaap,Q3 2023,1411,,8,0,9
Billings,billings nongaap,Q3 2023,1491.3,,8,0,3
Billings,billings nongaap,Q3 2023,1411,,8,0,9
total billings,billings nongaap,Q3 2023,1491.3,,8,0,3
total billings,billings nongaap,Q3 2023,1411,,8,0,9
margin %,cost of revenue and gross,Q3 2023,76.2%,,12,0,3
margin %,cost of revenue and gross,Q3 2023,75.4%,,12,0,9
gross margin,cost of revenue and gross,Q3 2023,76.2%,,12,0,3
gross margin,cost of revenue and gross,Q3 2023,75.4%,,12,0,9
margin %,cost of revenue and gross -1,Q3 2023,76.3%,,12,0,3
margin %,cost of revenue and gross -1,Q3 2023,74.9%,,12,0,9
gross margin,cost of revenue and gross -1,Q3 2023,76.3%,,12,0,3
gross margin,cost of revenue and gross -1,Q3 2023,74.9%,,12,0,9
deferred revenue,key metrics,Q4 2022 (10K),4640.3,10K,8,0,3
deferred revenue,key metrics,Q4 2022 (10K),3452.9,10K,8,0,9
deferred revenue,key metrics,Q4 2022 (10K),2605.3,10K,8,0,15
billings,key metrics,Q4 2022 (10K),5594,10K,9,0,3
billings,key metrics,Q4 2022 (10K),4181.4,10K,9,0,9
billings,key metrics,Q4 2022 (10K),3090.0,10K,9,0,15
Billings,key metrics,Q4 2022 (10K),5594,10K,9,0,3
Billings,key metrics,Q4 2022 (10K),4181.4,10K,9,0,9
Billings,key metrics,Q4 2022 (10K),3090.0,10K,9,0,15
deferred revenue,billings nongaap,Q4 2022 (10K),1187.4,10K,9,0,3
deferred revenue,billings nongaap,Q4 2022 (10K),847.6,10K,9,0,9
deferred revenue,billings nongaap,Q4 2022 (10K),496.2,10K,9,0,15
deferred revenue,billings nongaap,Q4 2022 (10K),-10.8,10K,10,0,3
deferred revenue,billings nongaap,Q4 2022 (10K),-4.1,10K,10,0,9
deferred revenue,billings nongaap,Q4 2022 (10K),-0.6000000000000001,10K,10,0,15
billings,billings nongaap,Q4 2022 (10K),5594,10K,12,0,3
billings,billings nongaap,Q4 2022 (10K),4181.4,10K,12,0,9
billings,billings nongaap,Q4 2022 (10K),3090,10K,12,0,15
Billings,billings nongaap,Q4 2022 (10K),5594,10K,12,0,3
Billings,billings nongaap,Q4 2022 (10K),4181.4,10K,12,0,9
Billings,billings nongaap,Q4 2022 (10K),3090,10K,12,0,15
total billings,billings nongaap,Q4 2022 (10K),5594,10K,12,0,3
total billings,billings nongaap,Q4 2022 (10K),4181.4,10K,12,0,9
total billings,billings nongaap,Q4 2022 (10K),3090,10K,12,0,15
margin %,results of operations-1,Q4 2022 (10K),75,10K,16,0,3
margin %,results of operations-1,Q4 2022 (10K),77,10K,16,0,9
margin %,results of operations-1,Q4 2022 (10K),78,10K,16,0,15
gross margin,results of operations-1,Q4 2022 (10K),75,10K,16,0,3
gross margin,results of operations-1,Q4 2022 (10K),77,10K,16,0,9
gross margin,results of operations-1,Q4 2022 (10K),78,10K,16,0,15
margin %,results of operations-1,Q4 2022 (10K),22,10K,23,0,3
margin %,results of operations-1,Q4 2022 (10K),19,10K,23,0,9
margin %,results of operations-1,Q4 2022 (10K),20,10K,23,0,15
operating margin,results of operations-1,Q4 2022 (10K),22,10K,23,0,3
operating margin,results of operations-1,Q4 2022 (10K),19,10K,23,0,9
operating margin,results of operations-1,Q4 2022 (10K),20,10K,23,0,15
margin %,cost of revenue and gross,Q4 2022 (10K),75.4%,10K,14,0,3
margin %,cost of revenue and gross,Q4 2022 (10K),76.6%,10K,14,0,9
gross margin,cost of revenue and gross,Q4 2022 (10K),75.4%,10K,14,0,3
gross margin,cost of revenue and gross,Q4 2022 (10K),76.6%,10K,14,0,9
deferred revenue,consolidated balance sheets,Q4 2022 (10K),2349.3,10K,27,0,3
deferred revenue,consolidated balance sheets,Q4 2022 (10K),1777.4,10K,27,0,9
deferred revenue,consolidated balance sheets,Q4 2022 (10K),2291,10K,29,0,3
deferred revenue,consolidated balance sheets,Q4 2022 (10K),1675.5,10K,29,0,9
deferred revenue,cash flows,Q4 2022 (10K),1177.5,10K,25,0,3
deferred revenue,cash flows,Q4 2022 (10K),839.4,10K,25,0,9
deferred revenue,cash flows,Q4 2022 (10K),495.6,10K,25,0,15
subscription,2 revenue recognition,Q4 2022 (10K),1427,10K,7,0,3
subscription,2 revenue recognition,Q4 2022 (10K),1125.0,10K,7,0,9
subscription,2 revenue recognition,Q4 2022 (10K),918.7,10K,7,0,15
support,2 revenue recognition,Q4 2022 (10K),1209.9,10K,8,0,3
support,2 revenue recognition,Q4 2022 (10K),962.2,10K,8,0,9
support,2 revenue recognition,Q4 2022 (10K),759.3,10K,8,0,15
service revenue,2 revenue recognition,Q4 2022 (10K),2636.9,10K,9,0,3
service revenue,2 revenue recognition,Q4 2022 (10K),2087.2,10K,9,0,9
service revenue,2 revenue recognition,Q4 2022 (10K),1678.0,10K,9,0,15
service revenue,stockbased compensation ex,Q4 2022 (10K),18.8,10K,6,0,3
service revenue,stockbased compensation ex,Q4 2022 (10K),15.7,10K,6,0,9
service revenue,stockbased compensation ex,Q4 2022 (10K),12.9,10K,6,0,15
ARR,notes to consolidated fina-13,Q4 2022 (10K),95,10K,5,0,3
ARR,notes to consolidated fina-13,Q4 2022 (10K),63.5,10K,5,0,9
arr,notes to consolidated fina-13,Q4 2022 (10K),95,10K,5,0,3
arr,notes to consolidated fina-13,Q4 2022 (10K),63.5,10K,5,0,9
deferred revenue,notes to consolidated fina-13,Q4 2022 (10K),380.1,10K,6,0,3
deferred revenue,notes to consolidated fina-13,Q4 2022 (10K),276.5,10K,6,0,9
ARR,notes to consolidated fina-13,Q4 2022 (10K),21.2,10K,8,0,3
ARR,notes to consolidated fina-13,Q4 2022 (10K),22.2,10K,8,0,9
arr,notes to consolidated fina-13,Q4 2022 (10K),21.2,10K,8,0,3
arr,notes to consolidated fina-13,Q4 2022 (10K),22.2,10K,8,0,9
deferred revenue,condensed consolidated bal,Q1 2022,1893.3,,27,0,3
deferred revenue,condensed consolidated bal,Q1 2022,1777.4,,27,0,9
deferred revenue,condensed consolidated bal,Q1 2022,1764.6,,29,0,3
deferred revenue,condensed consolidated bal,Q1 2022,1675.5,,29,0,9
deferred revenue,consolidated cash flows,Q1 2022,205.5,,25,0,3
deferred revenue,consolidated cash flows,Q1 2022,140.3,,25,0,9
subscription,notes to condensed consoli,Q1 2022,312.9,,7,0,3
subscription,notes to condensed consoli,Q1 2022,255.3,,7,0,9
support,notes to condensed consoli,Q1 2022,270.9,,8,0,3
support,notes to condensed consoli,Q1 2022,214.3,,8,0,9
service revenue,notes to condensed consoli,Q1 2022,583.8,,9,0,3
service revenue,notes to condensed consoli,Q1 2022,469.6,,9,0,9
service revenue,stockbased compensation ex,Q1 2022,4.5,,6,0,3
service revenue,stockbased compensation ex,Q1 2022,3.5,,6,0,9
deferred revenue,key metrics,Q1 2022,3657.9,,7,0,3
deferred revenue,key metrics,Q1 2022,2745.6,,7,0,9
billings,key metrics,Q1 2022,1159.8,,8,0,3
billings,key metrics,Q1 2022,850.6,,8,0,9
Billings,key metrics,Q1 2022,1159.8,,8,0,3
Billings,key metrics,Q1 2022,850.6,,8,0,9
deferred revenue,billings nongaap,Q1 2022,205,,8,0,3
deferred revenue,billings nongaap,Q1 2022,140.3,,8,0,9
billings,billings nongaap,Q1 2022,1159.8,,9,0,3
billings,billings nongaap,Q1 2022,850.6,,9,0,9
Billings,billings nongaap,Q1 2022,1159.8,,9,0,3
Billings,billings nongaap,Q1 2022,850.6,,9,0,9
total billings,billings nongaap,Q1 2022,1159.8,,9,0,3
total billings,billings nongaap,Q1 2022,850.6,,9,0,9
margin %,cost of revenue and gross,Q1 2022,73.4%,,13,0,3
margin %,cost of revenue and gross,Q1 2022,78.0%,,13,0,9
gross margin,cost of revenue and gross,Q1 2022,73.4%,,13,0,3
gross margin,cost of revenue and gross,Q1 2022,78.0%,,13,0,9
deferred revenue,condensed consolidated bal,Q2 2022,2013.2,,27,0,3
deferred revenue,condensed consolidated bal,Q2 2022,1777.4,,27,0,9
deferred revenue,condensed consolidated bal,Q2 2022,1918.8,,29,0,3
deferred revenue,condensed consolidated bal,Q2 2022,1675.5,,29,0,9
deferred revenue,consolidated cash flows,Q2 2022,480.6,,25,0,3
deferred revenue,consolidated cash flows,Q2 2022,300.1,,25,0,9
subscription,notes to condensed consoli,Q2 2022,340.4,,7,0,3
subscription,notes to condensed consoli,Q2 2022,272.9,,7,0,9
subscription,notes to condensed consoli,Q2 2022,653.3,,7,0,15
subscription,notes to condensed consoli,Q2 2022,528.2,,7,0,21
support,notes to condensed consoli,Q2 2022,289,,8,0,3
support,notes to condensed consoli,Q2 2022,229.9,,8,0,9
support,notes to condensed consoli,Q2 2022,559.9,,8,0,15
support,notes to condensed consoli,Q2 2022,444.2,,8,0,21
service revenue,notes to condensed consoli,Q2 2022,629.4,,9,0,3
service revenue,notes to condensed consoli,Q2 2022,502.8,,9,0,9
service revenue,notes to condensed consoli,Q2 2022,1213.2,,9,0,15
service revenue,notes to condensed consoli,Q2 2022,972.4,,9,0,21
service revenue,stockbased compensation ex,Q2 2022,4.7,,6,0,3
service revenue,stockbased compensation ex,Q2 2022,3.8,,6,0,9
service revenue,stockbased compensation ex,Q2 2022,9.2,,6,0,15
service revenue,stockbased compensation ex,Q2 2022,7.3,,6,0,21
deferred revenue,notes to condensed consoli-23,Q2 2022,3932,,7,0,3
deferred revenue,notes to condensed consoli-23,Q2 2022,2905.4,,7,0,9
billings,notes to condensed consoli-23,Q2 2022,1304.2,,8,0,3
billings,notes to condensed consoli-23,Q2 2022,960.9,,8,0,9
Billings,notes to condensed consoli-23,Q2 2022,1304.2,,8,0,3
Billings,notes to condensed consoli-23,Q2 2022,960.9,,8,0,9
deferred revenue,billings nongaap,Q2 2022,274.1,,8,0,3
deferred revenue,billings nongaap,Q2 2022,159.8,,8,0,9
billings,billings nongaap,Q2 2022,1304.2,,9,0,3
billings,billings nongaap,Q2 2022,960.9,,9,0,9
Billings,billings nongaap,Q2 2022,1304.2,,9,0,3
Billings,billings nongaap,Q2 2022,960.9,,9,0,9
total billings,billings nongaap,Q2 2022,1304.2,,9,0,3
total billings,billings nongaap,Q2 2022,960.9,,9,0,9
margin %,cost of revenue and gross,Q2 2022,75.7%,,13,0,3
margin %,cost of revenue and gross,Q2 2022,76.7%,,13,0,9
gross margin,cost of revenue and gross,Q2 2022,75.7%,,13,0,3
gross margin,cost of revenue and gross,Q2 2022,76.7%,,13,0,9
margin %,cost of revenue and gross -1,Q2 2022,74.6%,,13,0,3
margin %,cost of revenue and gross -1,Q2 2022,77.3%,,13,0,9
gross margin,cost of revenue and gross -1,Q2 2022,74.6%,,13,0,3
gross margin,cost of revenue and gross -1,Q2 2022,77.3%,,13,0,9
deferred revenue,condensed consolidated bal,Q3 2022,2129,,27,0,3
deferred revenue,condensed consolidated bal,Q3 2022,1777.4,,27,0,9
deferred revenue,condensed consolidated bal,Q3 2022,2064.5,,29,0,3
deferred revenue,condensed consolidated bal,Q3 2022,1675.5,,29,0,9
deferred revenue,consolidated cash flows,Q3 2022,742.8,,25,0,3
deferred revenue,consolidated cash flows,Q3 2022,497.1,,25,0,9
subscription,notes to condensed consoli,Q3 2022,369.8,,7,0,3
subscription,notes to condensed consoli,Q3 2022,287.4,,7,0,9
subscription,notes to condensed consoli,Q3 2022,1023.1,,7,0,15
subscription,notes to condensed consoli,Q3 2022,815.6,,7,0,21
support,notes to condensed consoli,Q3 2022,311,,8,0,3
support,notes to condensed consoli,Q3 2022,242.7,,8,0,9
support,notes to condensed consoli,Q3 2022,870.9,,8,0,15
support,notes to condensed consoli,Q3 2022,686.9,,8,0,21
service revenue,notes to condensed consoli,Q3 2022,680.8,,9,0,3
service revenue,notes to condensed consoli,Q3 2022,530.1,,9,0,9
service revenue,notes to condensed consoli,Q3 2022,1894,,9,0,15
service revenue,notes to condensed consoli,Q3 2022,1502.5,,9,0,21
service revenue,stockbased compensation ex,Q3 2022,4.8,,6,0,3
service revenue,stockbased compensation ex,Q3 2022,4.1,,6,0,9
service revenue,stockbased compensation ex,Q3 2022,14,,6,0,15
service revenue,stockbased compensation ex,Q3 2022,11.4,,6,0,21
deferred revenue,notes to condensed consoli-23,Q3 2022,4193.5,,7,0,3
deferred revenue,notes to condensed consoli-23,Q3 2022,3106.4,,7,0,9
billings,notes to condensed consoli-23,Q3 2022,1411,,8,0,3
billings,notes to condensed consoli-23,Q3 2022,1064.1,,8,0,9
Billings,notes to condensed consoli-23,Q3 2022,1411,,8,0,3
Billings,notes to condensed consoli-23,Q3 2022,1064.1,,8,0,9
deferred revenue,billings nongaap,Q3 2022,261.5,,8,0,3
deferred revenue,billings nongaap,Q3 2022,201,,8,0,9
deferred revenue,billings nongaap,Q3 2022,-4.1,,9,0,9
billings,billings nongaap,Q3 2022,1411,,10,0,3
billings,billings nongaap,Q3 2022,1064.1,,10,0,9
Billings,billings nongaap,Q3 2022,1411,,10,0,3
Billings,billings nongaap,Q3 2022,1064.1,,10,0,9
total billings,billings nongaap,Q3 2022,1411,,10,0,3
total billings,billings nongaap,Q3 2022,1064.1,,10,0,9
margin %,cost of revenue and gross,Q3 2022,75.4%,,13,0,3
margin %,cost of revenue and gross,Q3 2022,75.6%,,13,0,9
gross margin,cost of revenue and gross,Q3 2022,75.4%,,13,0,3
gross margin,cost of revenue and gross,Q3 2022,75.6%,,13,0,9
margin %,cost of revenue and gross -1,Q3 2022,74.9%,,13,0,3
margin %,cost of revenue and gross -1,Q3 2022,76.7%,,13,0,9
gross margin,cost of revenue and gross -1,Q3 2022,74.9%,,13,0,3
gross margin,cost of revenue and gross -1,Q3 2022,76.7%,,13,0,9
deferred revenue,key metrics,Q4 2021 (10K),3452.9,10K,8,0,3
deferred revenue,key metrics,Q4 2021 (10K),2605.3,10K,8,0,9
deferred revenue,key metrics,Q4 2021 (10K),2109.1,10K,8,0,15
billings,key metrics,Q4 2021 (10K),4181.4,10K,9,0,3
billings,key metrics,Q4 2021 (10K),3090.0,10K,9,0,9
billings,key metrics,Q4 2021 (10K),2602.9,10K,9,0,15
Billings,key metrics,Q4 2021 (10K),4181.4,10K,9,0,3
Billings,key metrics,Q4 2021 (10K),3090.0,10K,9,0,9
Billings,key metrics,Q4 2021 (10K),2602.9,10K,9,0,15
deferred revenue,billings nongaap,Q4 2021 (10K),847.6,10K,9,0,3
deferred revenue,billings nongaap,Q4 2021 (10K),496.2,10K,9,0,9
deferred revenue,billings nongaap,Q4 2021 (10K),442.3,10K,9,0,15
deferred revenue,billings nongaap,Q4 2021 (10K),-4.1,10K,10,0,3
deferred revenue,billings nongaap,Q4 2021 (10K),-0.6000000000000001,10K,10,0,9
deferred revenue,billings nongaap,Q4 2021 (10K),-2.4,10K,10,0,15
billings,billings nongaap,Q4 2021 (10K),4181.4,10K,12,0,3
billings,billings nongaap,Q4 2021 (10K),3090,10K,12,0,9
billings,billings nongaap,Q4 2021 (10K),2602.9,10K,12,0,15
Billings,billings nongaap,Q4 2021 (10K),4181.4,10K,12,0,3
Billings,billings nongaap,Q4 2021 (10K),3090,10K,12,0,9
Billings,billings nongaap,Q4 2021 (10K),2602.9,10K,12,0,15
total billings,billings nongaap,Q4 2021 (10K),4181.4,10K,12,0,3
total billings,billings nongaap,Q4 2021 (10K),3090,10K,12,0,9
total billings,billings nongaap,Q4 2021 (10K),2602.9,10K,12,0,15
margin %,results of operations-1,Q4 2021 (10K),77,10K,16,0,3
margin %,results of operations-1,Q4 2021 (10K),78,10K,16,0,9
margin %,results of operations-1,Q4 2021 (10K),77,10K,16,0,15
gross margin,results of operations-1,Q4 2021 (10K),77,10K,16,0,3
gross margin,results of operations-1,Q4 2021 (10K),78,10K,16,0,9
gross margin,results of operations-1,Q4 2021 (10K),77,10K,16,0,15
margin %,results of operations-1,Q4 2021 (10K),19,10K,23,0,3
margin %,results of operations-1,Q4 2021 (10K),20,10K,23,0,9
margin %,results of operations-1,Q4 2021 (10K),16,10K,23,0,15
operating margin,results of operations-1,Q4 2021 (10K),19,10K,23,0,3
operating margin,results of operations-1,Q4 2021 (10K),20,10K,23,0,9
operating margin,results of operations-1,Q4 2021 (10K),16,10K,23,0,15
margin %,cost of revenue and gross,Q4 2021 (10K),76.6%,10K,14,0,3
margin %,cost of revenue and gross,Q4 2021 (10K),78.0%,10K,14,0,9
gross margin,cost of revenue and gross,Q4 2021 (10K),76.6%,10K,14,0,3
gross margin,cost of revenue and gross,Q4 2021 (10K),78.0%,10K,14,0,9
deferred revenue,consolidated balance sheets,Q4 2021 (10K),1777.4,10K,27,0,3
deferred revenue,consolidated balance sheets,Q4 2021 (10K),1392.8,10K,27,0,9
deferred revenue,consolidated balance sheets,Q4 2021 (10K),1675.5,10K,29,0,3
deferred revenue,consolidated balance sheets,Q4 2021 (10K),1212.5,10K,29,0,9
deferred revenue,cash flows,Q4 2021 (10K),839.4,10K,25,0,3
deferred revenue,cash flows,Q4 2021 (10K),495.6,10K,25,0,9
deferred revenue,cash flows,Q4 2021 (10K),439.9,10K,25,0,15
subscription,2 revenue recognition,Q4 2021 (10K),1125,10K,7,0,3
subscription,2 revenue recognition,Q4 2021 (10K),918.7,10K,7,0,9
subscription,2 revenue recognition,Q4 2021 (10K),750.8,10K,7,0,15
support,2 revenue recognition,Q4 2021 (10K),962.2,10K,8,0,3
support,2 revenue recognition,Q4 2021 (10K),759.3,10K,8,0,9
support,2 revenue recognition,Q4 2021 (10K),623.7,10K,8,0,15
service revenue,2 revenue recognition,Q4 2021 (10K),2087.2,10K,9,0,3
service revenue,2 revenue recognition,Q4 2021 (10K),1678.0,10K,9,0,9
service revenue,2 revenue recognition,Q4 2021 (10K),1374.5,10K,9,0,15
service revenue,stockbased compensation ex,Q4 2021 (10K),15.7,10K,6,0,3
service revenue,stockbased compensation ex,Q4 2021 (10K),12.9,10K,6,0,9
service revenue,stockbased compensation ex,Q4 2021 (10K),11.3,10K,6,0,15
ARR,notes to consolidated fina-9,Q4 2021 (10K),63.5,10K,5,0,3
ARR,notes to consolidated fina-9,Q4 2021 (10K),48.9,10K,5,0,9
arr,notes to consolidated fina-9,Q4 2021 (10K),63.5,10K,5,0,3
arr,notes to consolidated fina-9,Q4 2021 (10K),48.9,10K,5,0,9
deferred revenue,notes to consolidated fina-9,Q4 2021 (10K),276.5,10K,6,0,3
deferred revenue,notes to consolidated fina-9,Q4 2021 (10K),216.4,10K,6,0,9
ARR,notes to consolidated fina-9,Q4 2021 (10K),22.2,10K,8,0,3
ARR,notes to consolidated fina-9,Q4 2021 (10K),23.4,10K,8,0,9
arr,notes to consolidated fina-9,Q4 2021 (10K),22.2,10K,8,0,3
arr,notes to consolidated fina-9,Q4 2021 (10K),23.4,10K,8,0,9
deferred revenue,condensed consolidated bal,Q1 2021,1465.1,,25,0,3
deferred revenue,condensed consolidated bal,Q1 2021,1392.8,,25,0,9
deferred revenue,condensed consolidated bal,Q1 2021,1280.5,,27,0,3
deferred revenue,condensed consolidated bal,Q1 2021,1212.5,,27,0,9
deferred revenue,consolidated cash flows,Q1 2021,140.3,,24,0,3
deferred revenue,consolidated cash flows,Q1 2021,90.1,,24,0,9
deferred revenue,notes to condensed consoli-1,Q1 2020,90.9,,7,0,3
deferred revenue,notes to condensed consoli-1,Q1 2020,-0.8,,7,0,9
deferred revenue,notes to condensed consoli-1,Q1 2020,90.1,,7,0,15
subscription,notes to condensed consoli-2,Q1 2021,255.3,,7,0,3
subscription,notes to condensed consoli-2,Q1 2021,211.4,,7,0,9
support,notes to condensed consoli-2,Q1 2021,214.3,,8,0,3
support,notes to condensed consoli-2,Q1 2021,174,,8,0,9
service revenue,notes to condensed consoli-2,Q1 2021,469.6,,9,0,3
service revenue,notes to condensed consoli-2,Q1 2021,385.4,,9,0,9
service revenue,stockbased compensation ex,Q1 2021,3.5,,6,0,3
service revenue,stockbased compensation ex,Q1 2021,3,,6,0,9
deferred revenue,key metrics,Q1 2021,2745.6,,7,0,3
deferred revenue,key metrics,Q1 2021,2199.2,,7,0,9
billings,key metrics,Q1 2021,850.6,,8,0,3
billings,key metrics,Q1 2021,667.8,,8,0,9
Billings,key metrics,Q1 2021,850.6,,8,0,3
Billings,key metrics,Q1 2021,667.8,,8,0,9
deferred revenue,billings nongaap,Q1 2021,140.3,,8,0,3
deferred revenue,billings nongaap,Q1 2021,90.1,,8,0,9
billings,billings nongaap,Q1 2021,850.6,,10,0,3
billings,billings nongaap,Q1 2021,667.8,,10,0,9
Billings,billings nongaap,Q1 2021,850.6,,10,0,3
Billings,billings nongaap,Q1 2021,667.8,,10,0,9
total billings,billings nongaap,Q1 2021,850.6,,10,0,3
total billings,billings nongaap,Q1 2021,667.8,,10,0,9
margin %,cost of revenue and gross,Q1 2021,78.0%,,13,0,3
margin %,cost of revenue and gross,Q1 2021,77.7%,,13,0,9
gross margin,cost of revenue and gross,Q1 2021,78.0%,,13,0,3
gross margin,cost of revenue and gross,Q1 2021,77.7%,,13,0,9
deferred revenue,condensed consolidated bal,Q2 2021,1533,,25,0,3
deferred revenue,condensed consolidated bal,Q2 2021,1392.8,,25,0,9
deferred revenue,condensed consolidated bal,Q2 2021,1372.4,,27,0,3
deferred revenue,condensed consolidated bal,Q2 2021,1212.5,,27,0,9
deferred revenue,consolidated cash flows,Q2 2021,300.1,,24,0,3
deferred revenue,consolidated cash flows,Q2 2021,184,,24,0,9
deferred revenue,notes to condensed consoli-2,Q2 2020,186.9,,7,0,3
deferred revenue,notes to condensed consoli-2,Q2 2020,-2.9,,7,0,9
deferred revenue,notes to condensed consoli-2,Q2 2020,184,,7,0,15
subscription,notes to condensed consoli-3,Q2 2021,272.9,,7,0,3
subscription,notes to condensed consoli-3,Q2 2021,222.6,,7,0,9
subscription,notes to condensed consoli-3,Q2 2021,528.2,,7,0,15
subscription,notes to condensed consoli-3,Q2 2021,434,,7,0,21
support,notes to condensed consoli-3,Q2 2021,229.9,,8,0,3
support,notes to condensed consoli-3,Q2 2021,183.1,,8,0,9
support,notes to condensed consoli-3,Q2 2021,444.2,,8,0,15
support,notes to condensed consoli-3,Q2 2021,357.1,,8,0,21
service revenue,notes to condensed consoli-3,Q2 2021,502.8,,9,0,3
service revenue,notes to condensed consoli-3,Q2 2021,405.7,,9,0,9
service revenue,notes to condensed consoli-3,Q2 2021,972.4,,9,0,15
service revenue,notes to condensed consoli-3,Q2 2021,791.1,,9,0,21
service revenue,notes to condensed consoli-16,Q2 2021,3.8,,6,0,3
service revenue,notes to condensed consoli-16,Q2 2021,3.2,,6,0,9
service revenue,notes to condensed consoli-16,Q2 2021,7.3,,6,0,15
service revenue,notes to condensed consoli-16,Q2 2021,6.2,,6,0,21
deferred revenue,notes to condensed consoli-22,Q2 2021,2905.4,,7,0,3
deferred revenue,notes to condensed consoli-22,Q2 2021,2293.1,,7,0,9
billings,notes to condensed consoli-22,Q2 2021,960.9,,8,0,3
billings,notes to condensed consoli-22,Q2 2021,711.5,,8,0,9
Billings,notes to condensed consoli-22,Q2 2021,960.9,,8,0,3
Billings,notes to condensed consoli-22,Q2 2021,711.5,,8,0,9
deferred revenue,billings nongaap,Q2 2021,159.8,,8,0,3
deferred revenue,billings nongaap,Q2 2021,93.9,,8,0,9
billings,billings nongaap,Q2 2021,960.9,,10,0,3
billings,billings nongaap,Q2 2021,711.5,,10,0,9
Billings,billings nongaap,Q2 2021,960.9,,10,0,3
Billings,billings nongaap,Q2 2021,711.5,,10,0,9
total billings,billings nongaap,Q2 2021,960.9,,10,0,3
total billings,billings nongaap,Q2 2021,711.5,,10,0,9
margin %,cost of revenue and gross,Q2 2021,76.7%,,13,0,3
margin %,cost of revenue and gross,Q2 2021,78.1%,,13,0,9
gross margin,cost of revenue and gross,Q2 2021,76.7%,,13,0,3
gross margin,cost of revenue and gross,Q2 2021,78.1%,,13,0,9
margin %,cost of revenue and gross -1,Q2 2021,77.3%,,13,0,3
margin %,cost of revenue and gross -1,Q2 2021,77.9%,,13,0,9
gross margin,cost of revenue and gross -1,Q2 2021,77.3%,,13,0,3
gross margin,cost of revenue and gross -1,Q2 2021,77.9%,,13,0,9
deferred revenue,condensed consolidated bal,Q3 2021,1616.1,,27,0,3
deferred revenue,condensed consolidated bal,Q3 2021,1392.8,,27,0,9
deferred revenue,condensed consolidated bal,Q3 2021,1490.3,,29,0,3
deferred revenue,condensed consolidated bal,Q3 2021,1212.5,,29,0,9
deferred revenue,consolidated cash flows,Q3 2021,497.1,,25,0,3
deferred revenue,consolidated cash flows,Q3 2021,282.6,,25,0,9
subscription,notes to condensed consoli,Q3 2021,287.4,,7,0,3
subscription,notes to condensed consoli,Q3 2021,235.4,,7,0,9
subscription,notes to condensed consoli,Q3 2021,815.6,,7,0,15
subscription,notes to condensed consoli,Q3 2021,669.4,,7,0,21
support,notes to condensed consoli,Q3 2021,242.7,,8,0,3
support,notes to condensed consoli,Q3 2021,191.9,,8,0,9
support,notes to condensed consoli,Q3 2021,686.9,,8,0,15
support,notes to condensed consoli,Q3 2021,549,,8,0,21
service revenue,notes to condensed consoli,Q3 2021,530.1,,9,0,3
service revenue,notes to condensed consoli,Q3 2021,427.3,,9,0,9
service revenue,notes to condensed consoli,Q3 2021,1502.5,,9,0,15
service revenue,notes to condensed consoli,Q3 2021,1218.4,,9,0,21
service revenue,notes to condensed consoli-25,Q3 2021,4.1,,6,0,3
service revenue,notes to condensed consoli-25,Q3 2021,3.3,,6,0,9
service revenue,notes to condensed consoli-25,Q3 2021,11.4,,6,0,15
service revenue,notes to condensed consoli-25,Q3 2021,9.5,,6,0,21
deferred revenue,notes to condensed consoli-32,Q3 2021,3106.4,,7,0,3
deferred revenue,notes to condensed consoli-32,Q3 2021,2392,,7,0,9
billings,notes to condensed consoli-32,Q3 2021,1064.1,,8,0,3
billings,notes to condensed consoli-32,Q3 2021,749.8,,8,0,9
Billings,notes to condensed consoli-32,Q3 2021,1064.1,,8,0,3
Billings,notes to condensed consoli-32,Q3 2021,749.8,,8,0,9
deferred revenue,billings nongaap,Q3 2021,201,,8,0,3
deferred revenue,billings nongaap,Q3 2021,98.9,,8,0,9
deferred revenue,billings nongaap,Q3 2021,-4.1,,9,0,3
deferred revenue,billings nongaap,Q3 2021,-0.2,,9,0,9
billings,billings nongaap,Q3 2021,1064.1,,10,0,3
billings,billings nongaap,Q3 2021,749.8,,10,0,9
Billings,billings nongaap,Q3 2021,1064.1,,10,0,3
Billings,billings nongaap,Q3 2021,749.8,,10,0,9
total billings,billings nongaap,Q3 2021,1064.1,,10,0,3
total billings,billings nongaap,Q3 2021,749.8,,10,0,9
margin %,cost of revenue and gross,Q3 2021,75.6%,,13,0,3
margin %,cost of revenue and gross,Q3 2021,78.6%,,13,0,9
gross margin,cost of revenue and gross,Q3 2021,75.6%,,13,0,3
gross margin,cost of revenue and gross,Q3 2021,78.6%,,13,0,9
margin %,cost of revenue and gross -1,Q3 2021,76.7%,,13,0,3
margin %,cost of revenue and gross -1,Q3 2021,78.2%,,13,0,9
gross margin,cost of revenue and gross -1,Q3 2021,76.7%,,13,0,3
gross margin,cost of revenue and gross -1,Q3 2021,78.2%,,13,0,9
deferred revenue,key metrics,Q4 2020 (10K),2605.3,10K,8,0,3
deferred revenue,key metrics,Q4 2020 (10K),2109.1,10K,8,0,9
deferred revenue,key metrics,Q4 2020 (10K),1666.8,10K,8,0,15
